SEASON_YEAR,TEAM_ID,TEAM_NAME,TEAM_ABBREV,GAME_COUNT,season_wins,season_winner,AVG_FIELD_GOALS_MADE,AVG_FIELD_GOALS_ATT,AVG_FIELD_GOAL_PCT,VAR_FIELD_GOAL_PCT,AVG_THREE_PT_FIELD_GOALS_MADE,AVG_THREE_PT_FIELD_GOALS_ATT,AVG_THREE_PT_FIELD_GOAL_PCT,AVG_FREE_THROWS_MADE,AVG_FREE_THROWS_ATT,AVG_FREE_THROW_PCT,AVG_OFF_REBOUNDS,AVG_DEF_REBOUNDS,AVG_TOT_REBOUNDS,AVG_ASSISTS,AVG_STEALS,AVG_BLOCKS,AVG_TOT_TURNOVERS,AVG_FOULS,AVG_PTS_SCORED,AVG_PLUS_MINUS_POINTS,AVG_PTS_AGAINST,per_pts_off_assists,per_paintshots,per_jumpshots,per_freethrows,per_secondchance
2020,1610612759,Spurs,SAS,63,27,Los Angeles Lakers,42.067808057272138,89.752304731030321,0.47004474386249284,0.0025312688678367588,10.604700638233206,28.698949785567155,0.366824435214264,18.6284064431162,23.04558808631344,0.8044927227906663,8.89869314152568,35.8414547664877,44.74014790801337,24.524364299463073,7.2167966771350436,5.5218316280012161,11.983925978455407,19.422787289366159,113.36872319589371,-1.7514605072096709,115.12018370310338,0.34487926318605427,0.19662394498280714,0.45670522038136918,0.34166927164738981,0.0050015629884338853
2020,1610612747,Lakers,LAL,63,49,Los Angeles Lakers,42.9085097882541,88.614595818351319,0.48390774404048464,0.0016839949178870048,11.11666000799041,31.450059928086297,0.35255999467305887,17.523505127180716,23.994273538420558,0.72923748168864044,10.624284192302571,35.577740045278986,46.202024237581576,25.817618857371155,8.611732587561594,6.8826075376215226,14.571381009455321,20.744806232520983,114.4571847116793,7.4191636702623542,107.03802104141698,0.3335102638957802,0.2321019941157241,0.39261196469434456,0.36515201046093493,0.010134030728996404
2020,1610612762,Jazz,UTA,64,41,Los Angeles Lakers,40.047832535562605,84.6554641677341,0.47362987932313072,0.0027947033229384108,13.110395739230091,34.290197532528808,0.37821907233870433,17.79710780017529,23.076046652733773,0.77408019281332174,8.8789523360075471,36.316456549585396,45.195408885592933,22.072608373221868,5.8808400188768282,4.0042135778332106,14.350434841232385,20.194161666554304,111.00316861053059,2.9008629407402395,108.10230566979035,0.31775423716369211,0.20616191412651588,0.45296624057686,0.33661094723041624,0.0042608980662078005
2020,1610612751,Nets,BKN,64,30,Los Angeles Lakers,39.960445468509995,90.188300051203314,0.44411543138760889,0.003126797537011079,12.880056323604713,37.917626728110591,0.34302352150537635,18.115783410138253,24.373815924219148,0.74482389272913474,10.868439580133129,37.765264976958527,48.633704557091654,23.968381976446498,6.4471966205837186,4.606246799795187,14.883448540706604,20.813748079877112,110.91673067076292,-0.67271505376343987,111.58944572452634,0.3362505299036358,0.23350416399743754,0.41960281870595773,0.34016655989750161,0.0067264573991031393
2020,1610612758,Kings,SAC,64,28,Los Angeles Lakers,40.360819908229224,88.124560404595215,0.46063281642495912,0.0023963004945895929,12.618581907090471,34.742171015172318,0.36417118263723747,15.833305422513988,20.591050674883608,0.7668135780553974,9.730281006129216,33.044713132598723,42.774994138727934,23.37860468231905,7.6727400609572287,4.2576615199115775,13.725926918310618,21.979133871453932,109.17352714606292,-1.9419566600797147,111.11548380614261,0.35501989368995679,0.23027375201288244,0.42028985507246375,0.34363929146537842,0.0057971014492753624
2020,1610612738,Celtics,BOS,64,43,Los Angeles Lakers,41.151234871593047,89.885663681983658,0.45888776279969828,0.00256599481515024,12.438650004919804,34.422414641346066,0.36304267112729188,18.501065958214433,23.138836957591256,0.80180989865197283,10.724097215389158,35.3426809669061,46.066778182295273,22.793269703827612,8.2809209878972769,5.5871953819410267,13.002755092000397,21.568565712224078,113.24218570632033,6.0206959887172413,107.22148971760306,0.32453598471643125,0.23514618044640051,0.38698522477208425,0.374410562716127,0.0034580320653882428
2020,1610612761,Raptors,TOR,64,46,Los Angeles Lakers,40.491780054689826,88.648996804269785,0.45803123249761141,0.0041399204794277875,13.742233057687869,37.129377656244849,0.37314891444008819,18.299607946496231,22.866075840938308,0.79963792705828107,9.7165354330708666,35.63390768622542,45.35044311929628,25.337133067571578,8.8344150495832388,4.9672849471221951,13.716403650380519,21.60728758277601,113.02540111356372,6.3785787236846438,106.64682238987908,0.3873283459278406,0.22425629290617849,0.419091206276561,0.35174893756129455,0.0049035632559660015
2020,1610612745,Rockets,HOU,64,40,Los Angeles Lakers,41.1380595815792,90.940804062088247,0.45352591830832023,0.0030451373038592458,15.35202622360767,44.33766108558023,0.34695642253430614,20.69727158787801,26.302503454703217,0.78887164572420232,10.471478612976835,34.766076421248847,45.237555034225664,21.514638300607384,8.4736317768422413,5.1679789182761846,14.156024038307034,21.706591252370092,118.3254169746441,3.7764565992865626,114.54896037535752,0.31746551670776119,0.25091240875912407,0.38625304136253041,0.35918491484184917,0.0036496350364963502
2020,1610612760,Thunder,OKC,64,40,Los Angeles Lakers,40.266584232864325,85.237509607993886,0.47337606523410092,0.0033188538579613847,10.350165424589777,29.319319586939812,0.35262684222838614,19.96063228954316,25.073455201684329,0.79897924673328213,8.1815326003408728,34.642916819837588,42.824449420178468,21.757143334558691,7.6008087424389261,4.9864652608361482,12.692677873207899,18.943454867493227,110.84396617986168,2.4882531831701376,108.35571299669151,0.31757039862453584,0.22215108834827144,0.42221510883482716,0.34763124199743917,0.0080025608194622278
2020,1610612764,Wizards,WAS,64,24,Los Angeles Lakers,41.868719767816842,91.1193485972267,0.46090132215414376,0.0037621854315131615,12.273653660109641,33.088971299580777,0.3710772009029345,19.629506610770719,24.956949371170598,0.7815609158336021,10.140180586907448,31.671751048049014,41.811931634956466,25.272686230248311,8.1342147694292173,4.2665269267978072,13.413350532086424,22.671041599484035,115.64059980651405,-4.1154788777813618,119.75607868429537,0.34275488183588609,0.23368740515933231,0.40121396054628222,0.35963581183611532,0.0054628224582701059
